[Wed Dec 04 23:58:48.436948 2019] [php7:notice] [pid 757] [client 10.152.20.26:60933] PHP Notice:  Undefined index: HTTPS in /home/urmxrpcd-m2/index.php on line 7
[Thu Dec 05 00:07:51.990692 2019] [php7:warn] [pid 1955] [client 10.152.20.26:60994] PHP Warning:  array_shift() expects parameter 1 to be array, string given in /home/urmxrpcd-m2/index.php on line 19
[Thu Dec 05 00:08:21.814818 2019] [php7:warn] [pid 2080] [client 10.152.20.26:60996] PHP Warning:  array_shift() expects parameter 1 to be array, string given in /home/urmxrpcd-m2/index.php on line 19
[Thu Dec 05 00:08:35.633430 2019] [php7:warn] [pid 2081] [client 10.152.20.26:61000] PHP Warning:  array_shift() expects parameter 1 to be array, string given in /home/urmxrpcd-m2/index.php on line 20
[Thu Dec 05 00:09:03.361727 2019] [php7:warn] [pid 2209] [client 10.152.20.26:61005] PHP Warning:  array_shift() expects parameter 1 to be array, string given in /home/urmxrpcd-m2/index.php on line 19
[Thu Dec 05 00:10:26.196031 2019] [php7:error] [pid 2474] [client 10.152.20.26:61015] PHP Fatal error:  Uncaught Error: Class 'app\\controllers\\TestAPI' not found in /home/urmxrpcd-m2/index.php:26\nStack trace:\n#0 {main}\n  thrown in /home/urmxrpcd-m2/index.php on line 26
[Thu Dec 05 01:12:50.633013 2019] [php7:notice] [pid 11027] [client 10.152.20.26:62075] PHP Notice:  Undefined index: pass in /home/urmxrpcd-m2/app/controllers/Users.php on line 21
[Thu Dec 05 01:12:50.633070 2019] [php7:error] [pid 11027] [client 10.152.20.26:62075] PHP Fatal error:  Uncaught Error: Call to undefined function app\\controllers\\password() in /home/urmxrpcd-m2/app/controllers/Users.php:22\nStack trace:\n#0 /home/urmxrpcd-m2/index.php(22): app\\controllers\\Users->login()\n#1 {main}\n  thrown in /home/urmxrpcd-m2/app/controllers/Users.php on line 22
[Thu Dec 05 01:13:35.538929 2019] [php7:notice] [pid 11156] [client 10.152.20.26:62089] PHP Notice:  Undefined index: pass in /home/urmxrpcd-m2/app/controllers/Users.php on line 21
[Thu Dec 05 01:13:35.538969 2019] [php7:notice] [pid 11156] [client 10.152.20.26:62089] PHP Notice:  Undefined index: password in /home/urmxrpcd-m2/app/controllers/Users.php on line 22
[Thu Dec 05 01:13:59.665800 2019] [php7:notice] [pid 11160] [client 10.152.20.26:62099] PHP Notice:  Undefined index: password in /home/urmxrpcd-m2/app/controllers/Users.php on line 22
[Thu Dec 05 01:15:55.190882 2019] [php7:error] [pid 11430] [client 10.152.20.26:62142] PHP Fatal error:  Uncaught Error: Call to a member function fetch() on boolean in /home/urmxrpcd-m2/app/controllers/Users.php:40\nStack trace:\n#0 /home/urmxrpcd-m2/index.php(23): app\\controllers\\Users->login()\n#1 {main}\n  thrown in /home/urmxrpcd-m2/app/controllers/Users.php on line 40
[Thu Dec 05 01:16:36.169514 2019] [php7:warn] [pid 11561] [client 10.152.20.26:62154] PHP Warning:  preg_match(): Compilation failed: nothing to repeat at offset 5 in /home/urmxrpcd-m2/functions.php on line 23
[Thu Dec 05 01:18:37.170817 2019] [php7:warn] [pid 11834] [client 10.152.20.26:62182] PHP Warning:  preg_match(): Compilation failed: missing terminating ] for character class at offset 7 in /home/urmxrpcd-m2/functions.php on line 23
[Thu Dec 05 01:23:55.355906 2019] [php7:emerg] [pid 12490] [client 10.152.20.26:62212] PHP Parse error:  syntax error, unexpected '}' in /home/urmxrpcd-m2/app/controllers/Users.php on line 17
[Thu Dec 05 01:32:24.591097 2019] [php7:notice] [pid 13672] [client 10.152.20.26:62288] PHP Notice:  Undefined index: PHP_AUTH_USER in /home/urmxrpcd-m2/app/models/API.php on line 27
